Radionuclide,Activity Concentration     (Ci/L),Percent Activity,Inhalation Dose coefficient ICRP 68 (mrem/curie),Inhalation Dose Per Liter (mrem/L),Percent IDP
Co-60,0.000106306,6.83136E-05,63000000,6697.297297,7.70991E-06
Ru-106,0.000175676,0.000112891,130000000,22837.83784,2.62909E-05
Sb-125,0.000162162,0.000104207,12200000,1978.378378,2.2775E-06
Cs-134,0.001058559,0.000680241,35600000,37684.68468,4.33825E-05
Cs-137,0.783783784,0.503668,24800000,19437837.84,0.022376789
Ce-144,0.00015,9.63916E-05,107000000,16050,1.84767E-05
Eu-154,0.00354955,0.002280979,130000000,461441.4414,0.00053121
Sr-90,0.743243243,0.477616207,285000000,211824324.3,0.243851617
Np-237,1.85135E-06,1.1897E-06,55600000000,102935.1351,0.000118499
Am-241,0.001337838,0.000859709,1E+11,133783783.8,0.154011547
Am-242m,3.85586E-06,2.47781E-06,88900000000,342785.5856,0.000394614
Am-243,7.47748E-06,4.80511E-06,1E+11,747747.7477,0.000860805
Cm-242,3.18919E-06,2.04941E-06,13700000000,43691.89189,5.0298E-05
Cm-243,2.46396E-05,1.58337E-05,74100000000,1825797.297,0.002101853
Cm-244,9.41441E-05,6.04981E-05,63000000000,5931081.081,0.006827845
Cm-245,2.06306E-05,1.32575E-05,1E+11,2063063.063,0.002374993
Cm-247,3.79279E-05,2.43729E-05,92600000000,3512126.126,0.004043151
Pu-238,0.003486486,0.002240454,1.11E+11,387000000,0.445513404
Pu-239/240,0.000545045,0.000350252,1.19E+11,64860360.36,0.07466708
Pu-241,0.015765766,0.010131253,2150000000,33896396.4,0.039021444
U-233,2.17593E-07,1.39828E-07,25600000000,5570.37568,6.4126E-06
U-234,9.4001E-05,6.04061E-05,25200000000,2368826.208,0.002726987
U-235,2.28509E-06,1.46842E-06,22600000000,51642.93456,5.94512E-05
U-236,6.28009E-06,4.03566E-06,23300000000,146326.1436,0.00016845
U-238,6.86305E-06,4.41027E-06,21100000000,144810.4296,0.000166705
Ni-59,1.18468E-06,7.61291E-07,815000,0.965518018,1.1115E-09
Ni-63,5.31532E-05,3.41568E-05,7410000,393.8648649,4.53416E-07
Pm-147,0.001202703,0.00077287,13000000,15635.13514,1.79991E-05
Sm-151,0.00090991,0.000584718,9630000,8762.432432,1.00873E-05
H-3,0.0000585,3.75927E-05,152000,8.892,1.02364E-08
TC-99m,0.000258108,0.000165863,107000,27.61756757,3.17933E-08
I-129,3.03604E-07,1.95099E-07,356000000,108.0828829,1.24425E-07
TOTAL,1.55615164,,,868660733.4,1
